word,polarity,frequency
anyway,neutral,546
creams,neutral,545
measures,neutral,540
lines,neutral,540
beautiful,positive,538
premises,neutral,538
difficult,negative,537
looking,neutral,536
professional,neutral,535
smaller,neutral,532
restroom,neutral,531
seating,neutral,530
beach,neutral,529
seemed,neutral,528
lost,negative,528
spain,neutral,528
convenient,positive,527
trays,neutral,526
eaten,neutral,524
options,neutral,524
able,neutral,523
euros,neutral,523
gone,neutral,520
fact,neutral,520
mess,negative,519
tray,neutral,516
mention,neutral,516
rudely,neutral,515
cool,positive,513
between,neutral,512
face,neutral,511
disappointed,negative,510
girls,neutral,510
asking,neutral,509
ingredients,neutral,509
behind,neutral,507
everywhere,neutral,506
simple,neutral,506
loved,positive,506
entrance,neutral,505
morning,neutral,504
toilets,neutral,502
polite,positive,501
solution,neutral,500
incredible,positive,500
done,neutral,499
box,neutral,491
closing,neutral,490
afternoon,neutral,489
city,neutral,488
amount,neutral,486
window,neutral,486
classic,positive,485
life,neutral,482
nor,neutral,479
playground,neutral,479
mcdrive,neutral,479
five,neutral,478
hurry,neutral,478
incomplete,negative,477
takeaway,neutral,476
practically,neutral,476
man,neutral,474
hand,neutral,472
changed,neutral,472
impossible,negative,469
simply,neutral,468
point,neutral,468
anymore,neutral,468
speak,neutral,468
looks,neutral,467
seem,neutral,467
upstairs,neutral,465
clear,positive,465
badly,negative,463
expected,neutral,462
peak,neutral,461
prepare,neutral,460
filthy,negative,457
decent,positive,457
glass,neutral,454
queues,neutral,454
bun,neutral,453
kept,neutral,452
saturday,neutral,449
rush,neutral,448
near,neutral,447
whenever,neutral,446
truly,neutral,445
refund,positive,444
considering,neutral,443
bought,neutral,442
works,positive,438
whole,neutral,437
huge,neutral,437
complained,negative,434
week,neutral,434
street,neutral,433
truth,neutral,433
coke,neutral,431
hands,neutral,430
fault,negative,430
photo,neutral,430
minute,neutral,429
public,neutral,428
started,neutral,428
thought,neutral,428
spend,neutral,425
brand,neutral,425
name,neutral,422
tasted,neutral,422
set,neutral,421
respect,positive,421
pathetic,negative,421
unfortunately,negative,420
friendliness,positive,419
surprised,neutral,419
own,neutral,417
using,neutral,417
worker,neutral,417
include,neutral,417
standard,neutral,416
downside,negative,413
variety,positive,412
nearby,neutral,411
broken,negative,411
flavor,neutral,410
team,neutral,410
melted,neutral,408
bags,neutral,406
deals,neutral,405
true,neutral,405
card,neutral,402
cleaned,neutral,402
beer,neutral,401
rather,neutral,400
refused,negative,399
white,neutral,395
floors,neutral,395
smile,positive,393
situation,neutral,393
soon,neutral,392
straws,neutral,391
faster,positive,390
disorganized,negative,390
obviously,neutral,390
total,neutral,390
security,neutral,389
run,neutral,389
besides,neutral,388
low,neutral,386
visited,neutral,385
terms,neutral,385
smell,negative,385
sunday,neutral,385
stopped,neutral,385
realized,neutral,385
matter,neutral,384
summer,neutral,384
dessert,neutral,384
wings,neutral,382
yes,neutral,382
snack,neutral,382
possible,neutral,381
clearly,positive,379
preparing,neutral,379
plastic,neutral,379
vending,neutral,378
kindness,positive,378
pigeons,neutral,377
attitude,neutral,377
opinion,neutral,376
felt,neutral,375
taken,neutral,375
needed,neutral,374
response,neutral,374
doubt,negative,374
particular,neutral,374
hair,neutral,373
throw,neutral,371
talking,neutral,370
kiosks,neutral,369
pleasure,positive,369
happens,neutral,368
whatever,neutral,367
yourself,neutral,367
third,neutral,366
hardly,neutral,366
fish,neutral,366
prefer,positive,365
ticket,neutral,365
freshly,neutral,364
receive,neutral,362
favorite,positive,360
arrives,neutral,360
affordable,positive,359
checkout,neutral,358
goes,neutral,358
named,neutral,358
healthy,positive,357
eats,neutral,356
sandwich,neutral,355
congratulations,positive,355
choose,neutral,354
photos,neutral,354
view,neutral,354
fresh,positive,354
cashier,neutral,353
via,neutral,352
seville,neutral,352
themselves,neutral,351
known,neutral,351
size,neutral,351
disappointing,negative,351
kiosk,neutral,350
management,neutral,350
cup,neutral,350
condition,neutral,349
views,neutral,348
tidy,positive,348
party,neutral,347
spectacular,positive,346
live,neutral,346
shouldn,neutral,346
happen,neutral,345
generally,neutral,345
hungry,neutral,345
sorry,negative,343
general,neutral,342
maintained,neutral,342
tastes,neutral,342
unacceptable,negative,341
toy,neutral,341
decided,neutral,340
issue,negative,339
packet,neutral,338
might,neutral,337
above,neutral,336
waste,negative,335
forever,neutral,335
whether,neutral,333
lady,neutral,333
noticed,neutral,332
mcdonalds,neutral,332
maybe,neutral,332
weekends,neutral,331
cooked,neutral,331
lovely,positive,331
together,neutral,331
actually,neutral,330
amazing,positive,328
lately,neutral,327
chaotic,negative,326
bar,neutral,326
checking,neutral,326
child,neutral,325
trying,neutral,324
waitress,neutral,324
noisy,negative,323
cash,neutral,321
exactly,neutral,321
incompetent,negative,320
unbelievable,negative,319
cozy,positive,318
offered,neutral,318
reason,neutral,317
rip,negative,317
cost,neutral,316
opening,neutral,316
garbage,negative,315
provided,neutral,315
safety,neutral,315
deal,neutral,314
included,neutral,314
spanish,neutral,313
barely,neutral,313
yet,neutral,312
form,neutral,311
welcoming,neutral,311
brilliant,positive,310
cheeseburger,neutral,310
turn,neutral,310
enter,neutral,309
example,neutral,308
itself,neutral,308
side,neutral,308
imagine,neutral,308
straw,neutral,307
limited,negative,306
highlight,neutral,306
caramel,neutral,305
costs,neutral,303
spot,neutral,303
neither,neutral,303
touch,neutral,303
chips,neutral,302
control,neutral,302
professionalism,neutral,302
euro,neutral,301
walk,neutral,301
knows,neutral,299
turned,neutral,298
under,neutral,298
gloves,neutral,298
myself,neutral,298
friend,neutral,298
code,neutral,297
early,neutral,297
value,neutral,296
perfectly,positive,296
payment,neutral,296
chairs,neutral,296
chaos,negative,295
couple,neutral,295
nobody,neutral,295
idea,neutral,293
tourists,neutral,292
overwhelmed,negative,291
send,neutral,291
appalling,negative,290
soda,neutral,288
comment,neutral,287
medium,neutral,287
guys,neutral,287
managers,neutral,287
probably,neutral,286
alone,neutral,286
pickles,neutral,285
fun,positive,285
soft,positive,283
sitting,neutral,282
acceptable,neutral,281
onions,neutral,281
literally,neutral,280
moment,neutral,279
health,neutral,278
